line,title,author,cited_num,relate,reverse_relate
Congruent numbers with many prime factors,Congruent numbers with many prime factors,,20,100.00%,100.00%
The characteristics of sea fog with different airflow over the Yellow Sea in boreal spring,The characteristics of sea fog with different airflow over the Huanghai Sea in boreal spring,D Wang,4,93.33%,93.33%
Low-Noise Waveguide-Type NbN/AlN/NbN SIS Mixers Approaching Terahertz Frequencies,Low-noise waveguide-type nbn/aln/nbn sis mixers approaching terahertz frequencies,,7,0.00%,0.00%
Competition between Weak Localization and Antilocalization in Topological Surface States,Competition between weak localization and antilocalization in topological surface states,HZ Lu J Shi SQ Shen,192,40.00%,40.00%
"Increased temperature and precipitation interact to affect root production, mortality, and turnover in a temperate steppe: Implications for ecosystem C cycling","Increased temperature and precipitation interact to affect root production, mortality, and turnover in a temperate steppe: implications for ecosystem C cycling",SL Niu W Liu,101,95.24%,95.24%
"Preparation of α,α-Difluoroalkanesulfonic Acids","Preparation of α, α-difluoroalkanesulfonic acids",,29,50.00%,40.00%
Hyperplasia and Cellularity Changes in IGF-1-Overexpressing Skeletal Muscle of Crucian Carp.,Hyperplasia and cellularity changes in IGF-1-overexpressing skeletal muscle of crucian carp,,7,36.36%,36.36%
Retrieving Leaf Area Index in the Heihe and the Hanjiang River Basins Using Landsat Images for Accuracy Evaluation on MODIS LAI Product.,A quality assessment of MODIS LAI product in Heihe and Hanjiang River Basins,,18,36.36%,61.54%
Quantum phases of dipolar spinor condensates,Quantum phases of dipolar spinor condensates,S Yi H Pu,99,100.00%,100.00%
Advances in the Study of Researching Biogenic Volatile Organic Compounds Emissions,Advances in the Study of Researching Biogenic Volatile Organic Compounds Emissions,X YAN,0,100.00%,100.00%
Comparative and functional analysis of sortase-dependent proteins in the predicted secretome of Lactobacillus salivarius.,Comparative and functional analysis of sortase-dependent proteins in the predicted secretome of Lactobacillus salivarius UCC118,,141,92.31%,73.33%
ELECTROCHEMICAL CHARACTERIZATION OF MANGANESE OXIDES USED IN AIR ELECTORDES,Material characterization and electrochemical performance of hydrous manganese oxide electrodes for use in electrochemical pseudocapacitors,JK Chang,283,0.00%,0.00%
Thermal conductivity enhancement dependent pH and chemical surfactant for Cu-H< sub> 2</sub> O nanofluids,Thermal conductivity enhancement dependent pH and chemical surfactant for Cu-H 2 O nanofluids,JW Gao,210,78.57%,84.62%
A high-resolution image of the Cascadia subduction zone from teleseismic converted phases recorded by a broadband seismic array,[CITATION][C] A high-resolution image of the Cascadia subduction zone from teleseismic converted phases recorded by a broadband seismic array,J Nabelek XQ Li J Braunmiller,34,100.00%,94.74%
Dissipative soliton evolution in ultra-large normal-cavity-dispersion fiber lasers,Dissipative soliton evolution in ultra-large normal-cavity-dispersion fiber lasers,X Liu,62,100.00%,100.00%
The GALEX Arecibo SDSS survey - III. Evidence for the inside-out formation of Galactic discs,The GALEX Arecibo SDSS survey–III. Evidence for the inside-out formation of Galactic discs,J Wang G Kauffmann R Overzier,79,80.00%,92.31%
A mature cluster with X-ray emission at z = 2.07,A mature cluster with X-ray emission at z= 2.07,E Daddi A Renzini,164,80.00%,88.89%
Research progress on E+A (post-starburst) galaxies.,Three-year Wilkinson Microwave Anisotropy Probe (WMAP) observations: implications for cosmology,G Hinshaw E Komatsu,8053,0.00%,0.00%
Classification of quasifinite modules over the Lie algebras of Weyl type,Classification of quasifinite modules over the Lie algebras of Weyl type,,44,100.00%,100.00%
Foliage clumping index over China’s landmass retrieved from the MODIS BRDF parameters product,Foliage clumping index over China's landmass retrieved from the MODIS BRDF parameters product,W Ju P Gong,21,92.31%,92.31%
Surface topography of DOME A Antarctica from differential GPS measurements,"Surface topography of Dome A, Antarctica, from differential GPS measurements",X Cheng P Gong Y Zhang,12,70.00%,70.00%
A readapted Malone schistosomiasis transmission index model,A readapted Malone schistosome transmission index model,P Gong S Bao,7,85.71%,85.71%
"A Chapell, 2009. Retrieving photometric properties of deserts in China using the Hapke model and MISR data",Retrieving photometric properties of desert surfaces in China using the Hapke model and MISR data,P Gong A Chappell,23,76.47%,86.67%
Meta-prediction of Bromus tectorum invasion in Central Utah,"Meta-Prediction of Bromus tectorum Invasion in Central Utah, United States",NE Clinton P Gong,11,62.50%,50.00%
Satellite imagery to support water allocation planning in the Central Valley,Satellites measure recent rates of groundwater depletion in California's Central Valley,JS Famiglietti M Lo,350,27.27%,27.27%
Quantifying air pollution removal by green roofs in Chicago,Quantifying air pollution removal by green roofs in Chicago,J Yang Q Yu P Gong,377,100.00%,100.00%
Object detection by spectropolarimetric imagery fusion,Object detection by spectropolarimeteric imagery fusion,YQ Zhao P Gong,46,83.33%,83.33%
Modeling spatial-temporal change of Poyang Lake using multi-temporal Landsat imagery,Modelling spatial‐temporal change of Poyang Lake using multitemporal Landsat imagery,H Huang Q Yu P Gong,148,70.00%,70.00%
Reduction of atmospheric and topographic effect on Landsat TM data for forest classification,Reduction of atmospheric and topographic effect on Landsat TM data for forest classification,H Huang P Gong N Clinton,46,100.00%,100.00%
Reflectance spectroscopy for the assessment of salt content in soils of the Yellow River Delta of China,Reflectance spectroscopy for the assessment of soil salt content in soils of the Yellow River Delta of China,P Gong,45,100.00%,94.44%
Soil salt content estimation on the Yellow River Delta with satellite hyperspectral data,Soil salt content estimation in the Yellow River delta with satellite hyperspectral data,P Gong,41,84.62%,84.62%
Environmental factors contributing to the spread of avian influenza in mainland China,Environmental factors contributing to the spread of H5N1 avian influenza in mainland China,SJ de Vlas P Gong,130,100.00%,92.31%
Noise estimation in a noise-adjusted principal component transformation and hyperspectral image restoration,Noise estimation in a noise-adjusted principal component transformation and hyperspectral image restoration,P Gong,19,100.00%,100.00%
Factors affecting spatial variation of classification uncertainties in an object-based vegetation mapping,Factors affecting spatial variation of classification uncertainty in an image object-based vegetation mapping,Q Yu P Gong YQ Tian R Pu,27,91.67%,84.62%
"Comparative Analysis of EO-1 ALI and Hyperion, and Landsat ETM+ Data for Mapping Forest Crown Closure and Leaf Area Index","Comparative analysis of EO-1 ALI and Hyperion, and Landsat ETM+ data for mapping forest crown closure and leaf area index",R Pu P Gong Q Yu,22,55.00%,55.00%
Modeling radiation and photosynthesis of a heterogeneous savanna woodland landscape with a hierarchy of model complexity,Modeling radiation and photosynthesis of a heterogeneous savanna woodland landscape with a hierarchy of model complexities,Q Chen D Baldocchi P Gong,51,93.75%,93.75%
Tree density estimation in a tropical woodland ecosystem with multiangular MISR and MODIS data,Tree density estimation in a tropical woodland ecosystem with multiangular MISR and MODIS data,F Sedano D Gómez P Gong GS Biging,13,100.00%,100.00%
"Using classification and NDVI differencing methods for monitoring of sparse vegetation: a case study of saltcedar in Nevada, USA","Using classification and NDVI differencing methods for monitoring sparse vegetation coverage: a case study of saltcedar in Nevada, USA",R Pu P Gong Y Tian,67,89.47%,94.74%
Materials - Creating the narrowest carbon nanotubes,Materials: Creating the narrowest carbon nanotubes,,198,71.43%,83.33%
Supporting Economic Reform of Chinese Petroleum Industry: A Dynamic Decision Making Model,Supporting economic reform of the Chinese Petroleum industry: A dynamic decision making model,K Wu,2,41.67%,38.46%
"Effect of solid solution formation on densification of hot-pressed ZrC ceramics with MC (M = V, Nb, and Ta) additions","Effect of solid solution formation on densification of hot-pressed ZrC ceramics with MC (M= V, Nb, and Ta) additions",,48,90.00%,94.74%
"Cloning, Expression and Biochemical Characterization of A Basic-Acidic Hybrid Phospholipase A2-II From Agkistrodon halys Pallas","Cloning, expression and biochemical characterization of a basic-acidic hybrid phospholipase A 2-II from Agkistrodon halys Pallas",,13,46.67%,43.75%
The effect of water stress on photosynthesis of Citrus unshiu,The effect of water stress on photosynthesis of Citrus unshiu Marc.,,6,100.00%,90.91%
"An investigation of the electronic properties of MgO doped with group III, IV, and V elements: trends with varying dopant atomic number","An investigation of the electronic properties of MgO doped with group III, IV, and V elements: trends with varying dopant atomic number",,19,100.00%,100.00%
Metastable phases in Gallium-Indium eutectic alloy particles and their size dependence,Metastable phases in Gallium–Indium eutectic alloy particles and their size dependence,XM Chen,5,90.91%,90.91%
Soil carbon dynamics of conventional tillage and no-till agroecosystems at Georgia Piedmont - HSB-C models,Soil carbon dynamics of conventional tillage and no-till agroecosystems at Georgia Piedmont—HSB-C models,,33,80.00%,92.31%
Wwp2 mediates Oct4 ubiquitination and its auto-ubiquitination in a dosage-dependent manner,Wwp2 mediates Oct4 ubiquitination and its own auto-ubiquitination in a dosage-dependent manner,,53,100.00%,91.67%
Effect of rainwater harvesting with ridge and furrow on yield of potato in semiarid areas,Effect of rainwater harvesting with ridge and furrow on yield of potato in semiarid areas,F Li,136,100.00%,100.00%
Capturing Interactions in Meetings with Omnidirectional Cameras,Capturing interactions in meetings with omnidirectional cameras,R Stiefelhagen X Chen J Yang,26,42.86%,42.86%
Automatic Detection and Recognition of Signs from Natural Scenes,Automatic detection and recognition of signs from natural scenes,X Chen J Yang,340,44.44%,44.44%
Nudel functions in membrane traffic mainly through association with Lis1 and cytoplasmic dynein,Nudel functions in membrane traffic mainly through association with Lis1 and cytoplasmic dynein,,108,100.00%,100.00%
Optical amplification of Eu(TTA)3Phen solution-filled hollow optical fiber,Optical amplification of Eu (TTA) 3 Phensolution-filled hollow optical fiber,Z Hu Y Luo,4,75.00%,60.00%
"Assimilating remote sensing and in situ observations into a coastal model of northern South China Sea using ensemble Kalman filter,",Assimilating remote sensing and in situ observations into a coastal model of northern South China Sea using ensemble Kalman filter,,19,95.00%,95.00%
Adjoint method for optimum planning of industrial pollutant sources.,Adjoint method for the optimum planning of industrial pollutant sources,,7,88.89%,80.00%
A comparison study of tropic Pacific ocean state estimation: low-resolution assimilation vs. high resolution simulation.,A comparison study of tropical pacific ocean state estimation: Low-resolution assimilation vs. high-resolution simulation,,7,60.00%,64.29%
Salinity estimation using T-S relation in the context of variational data assimilation.,Salinity estimation using the T‐S relation in the context of variational data assimilation,,31,91.67%,76.92%
The roles of vertical correlation of the background covariance and T-S relation in estimation temperature and salinity profiles from surface dynamic height.,Roles of vertical correlations of background error and T‐S relations in estimation of temperature and salinity profiles from sea surface dynamic height,R Li,42,68.18%,63.64%
The impact of location dependent correlation length scales of background covariance on an ocean data assimilation system.,Operational multivariate ocean data assimilation,,408,17.65%,60.00%
"Sea Temperature Data Assimilation System for the China Sea and Adjacent Areas,",[CITATION][C] A sea temperature data assimilation system for the China Seas and adjacent areas,J Zhu,6,33.33%,28.57%
Estimation of air-sea heat flux from ocean measurements: an ill-posed problem,Estimation of air‐sea heat flux from ocean measurements: An ill‐posed problem,,13,70.00%,63.64%
SST data assimilation experiments using an adaptive variational method.,SST data assimilation experiments using an adaptive variational method,,9,88.89%,88.89%
The improvement made by a modified TLM in 4DVAR with a geophysical boundary layer model.,The improvement made by a modified TLM in 4DVAR with a geophysical boundary layer model,,19,93.33%,93.33%
Nonsmooth Optimization Approaches to VDA of Models with on/off Parameterizations: Theoretical Issues.,Nonsmooth optimization approaches to VDA of models with on/off parameterizations: Theoretical issues,,17,58.33%,58.33%
Rotating annulus experiment: Large-scale helical soliton in the atmosphere?,Rotating annulus experiment: Large-scale helical soliton in the atmosphere?,,3,100.00%,100.00%
The role of time-step size on numerical instablity of tangent linear models.,The role of time step size in numerical stability of tangent linear models,,20,66.67%,61.54%
An adaptive variational method for data assimilation with imperfect models.,An adaptive variational method for data assimilation with imperfect models,,22,90.00%,90.00%
"Data assimilation and its applications,",Data assimilation and its applications,X Zou,80,80.00%,80.00%
Optimal control of sedimentation in navigation channels.,Optimal control of sedimentation in navigation channels,,21,85.71%,85.71%
"Graphene-Based Materials in Electrochemistry,",Graphene-based materials in electrochemistry,J Li,992,25.00%,25.00%
"Aptamer/Graphene Oxide Nanocomplex for In Situ Molecular Probing in Living Cells,",Aptamer/graphene oxide nanocomplex for in situ molecular probing in living cells,D Hu J Li,714,27.27%,18.18%
P25-Graphene Composite as a High Performance Photocatalyst,P25-graphene composite as a high performance photocatalyst,H Zhang X Lv Y Li Y Wang J Li,2055,28.57%,28.57%
"Bio-functional Titania Nanotubes for Visible-light Activated Photoelectrochemical Biosensing,",Biofunctional titania nanotubes for visible-light-activated photoelectrochemical biosensing,H Zhang X Li J Li,154,12.50%,14.29%
"Measurement of Quantum Capacitance of Graphene,",Measurement of the quantum capacitance of graphene,J Li N Tao,860,50.00%,42.86%
"Interfacial Design and Functionization on Metal Electrodes through Self-assembled Monolayers,",Interfacial design and functionization on metal electrodes through self-assembled monolayers,J Li,154,40.00%,40.00%
"nterfacial Bioelectrochemistry: Fabrication, Properties and Applications of Functional Nanostructured Biointerfaces,","Interfacial bioelectrochemistry: fabrication, properties and applications of functional nanostructured biointerfaces",J Li,164,20.00%,20.00%
Optimization of thickness uniformity of optical coatings on a conical substrate in a planetary rotation system,Optimization of thickness uniformity of optical coatings on a conical substrate in a planetary rotation system,,9,100.00%,100.00%
Microstructure-related properties of magnesium fluoride films at 193nm by oblique-angle deposition,Microstructure-related properties of magnesium fluoride films at 193nm by oblique-angle deposition,,5,100.00%,100.00%
Three-dimensional transient model for time-domain free-carrier absorption measurement of excess carriers in silicon wafers,Three-dimensional transient model for time-domain free-carrier absorption measurement of excess carriers in silicon wafers,,1,100.00%,100.00%
"Simultaneous determination of optical constants, thickness, and surface roughness of thin film from spectrophotometric measurements","Simultaneous determination of optical constants, thickness, and surface roughness of thin film from spectrophotometric measurements",,7,100.00%,100.00%
Detection of chemical warfare agents based on quantum cascade laser cavity ring-down spectroscopy,Detection of chemical warfare agents based on quantum cascade laser cavity ring-down spectroscopy,Z Qu,3,100.00%,100.00%
Photocarrier radiometry of ion-implanted and thermally annealed silicon wafers with multiple-wavelength excitations,Photocarrier radiometry of ion-implanted and thermally annealed silicon wafers with multiple-wavelength excitations,,5,100.00%,100.00%
Self-eliminating Instrumental Frequency Response from Free Carrier Absorption Signals for Silicon Wafer Characterization,Self-eliminating instrumental frequency response from free carrier absorption signals for silicon wafer characterization,,10,23.08%,23.08%
Accurate Temperature Model for Absorptance Determination of Optical Components with Laser Calorimetry,Accurate temperature model for absorptance determination of optical components with laser calorimetry,,5,33.33%,33.33%
Infrared Spectroscopic Ellipsometry for Ion-Implanted Silicon Wafers,Infrared Spectroscopic Ellipsometry for Ion-Implanted Silicon Wafers,,2,100.00%,100.00%
Identification and characterization of a novel Ag. Intermedium HMW-GS gene from T. Aestivum-Ag. intermedium addition lines TAI-I series,Identification and characterization of a novel Ag. intermedium HMW-GS gene from T. aestivum-Ag. intermedium addition lines TAI-I series,,16,94.44%,88.89%
A measuring system for mechanical characterization of thin films based on a compact in situ micro-tensile tester and SEM moiré method,A measuring system for mechanical characterization of thin films based on a compact in situ micro-tensile tester and SEM moire method,,3,95.24%,95.24%
Fabrication of terahertz metamaterials using S1813/LOR stack by lift-off,Fabrication of terahertz metamaterials using S1813/LOR stack by lift-off,,9,100.00%,100.00%
Aqueous Solution-Processed MoO3 as an Effective Interfacial Layer in Polymer/Fullerene Based Organic Solar Cells,Aqueous solution-processed MoO 3 as an effective interfacial layer in polymer/fullerene based organic solar cells,LS Cui XB Shi ZM Jin,50,28.57%,26.67%
Scalable integration of indium zinc oxide/photosensitive-nanowire composite thin-film transistors for transparent multicolor photodetectors array,Scalable Integration of Indium Zinc Oxide/Photosensitive‐Nanowire Composite Thin‐Film Transistors for Transparent Multicolor Photodetectors Array,X Liu X Xiao,31,21.43%,21.43%
Improved performance of HgCdTe infrared detector focal plane arrays by modulating light field based on photonic crystal structure,Improved performance of HgCdTe infrared detector focal plane arrays by modulating light field based on photonic crystal structure,J Liang W Hu,19,100.00%,100.00%
Single InAs nanowire room-temperature near-infrared photodetectors,Single InAs nanowire room-temperature near-infrared photodetectors,J Miao W Hu N Guo,107,100.00%,100.00%
Interfacial thermal stability and band alignment of Al2O 3/HfO2/Al2O3/Si gate stacks grown by atomic layer deposition,Interfacial thermal stability and band alignment of Al 2 O 3/HfO 2/Al 2 O 3/Si gate stacks grown by atomic layer deposition,XS Chen JB Cui,16,87.50%,63.64%
Magnetization characteristic of ferromagnetic thin strip by measuring anisotropic magnetoresistance and ferromagnetic resonance,Magnetization characteristic of ferromagnetic thin strip by measuring anisotropic magnetoresistance and ferromagnetic resonance,B Zhang,10,100.00%,100.00%
One-pot controlled synthesis of spongelike CuInS2 microspheres for efficient counter electrode with graphene assistance in dye-sensitized solar cells,One-pot controlled synthesis of spongelike CuInS2 microspheres for efficient counter electrode with graphene assistance in dye-sensitized solar cells,,26,100.00%,100.00%
Effect of solution concentration on surface morphology and photocatalytic activity of ZnO thin films synthesized by hydrothermal methods,Effect of solution concentration on surface morphology and photocatalytic activity of ZnO thin films synthesized by hydrothermal methods,Z Zhou,6,100.00%,100.00%
Ab initio investigation of the structural and electronic properties of amorphous HgTe,Ab initio investigation of the structural and electronic properties of amorphous HgTe,J Lu,0,100.00%,100.00%
Erratum: Stable three-dimensional metallic carbon with interlocking hexagons (Proceedings of the National Academy of Sciences of the United States of America,Stable three-dimensional metallic carbon with interlocking hexagons,,48,33.33%,100.00%
Current noise in three-terminal hybrid quantum point contacts,Current noise in three-terminal hybrid quantum point contacts,,2,100.00%,100.00%
The structural and electronic properties of amorphous HgCdTe from first-principles calculations,The structural and electronic properties of amorphous HgCdTe from first-principles calculations,J Lu,1,100.00%,100.00%
Two-dimensional silicene nucleation on a Ag(111) surface: Structural evolution and the role of surface diffusion,Two-dimensional silicene nucleation on a Ag (111) surface: structural evolution and the role of surface diffusion,P Liang,18,86.67%,81.25%
Study of gain and photoresponse characteristics for back-illuminated separate absorption and multiplication GaN avalanche photodiodes,Study of gain and photoresponse characteristics for back-illuminated separate absorption and multiplication GaN avalanche photodiodes,W Hu,32,100.00%,100.00%
A gold hybrid structure as optical coupler for quantum well infrared photodetector,A gold hybrid structure as optical coupler for quantum well infrared photodetector,Y Jing,2,100.00%,100.00%
"Effect of solution concentration on surface morphology, chemical composition and photoresponse of CuO/Cu2O composite thin films grown by hydrothermal synthesis","Effect of solution concentration on surface morphology, chemical composition and photoresponse of CuO/Cu2O composite thin films grown by hydrothermal synthesis",Z Zhou,4,100.00%,100.00%
