line,title,author,cited_num,relate,reverse_relate
Molecular crowding creates an essential environment for the formation of stable G-quadruplexes in long double-stranded DNA,Molecular crowding creates an essential environment for the formation of stable G-quadruplexes in long double-stranded DNA,Z Tan,73,100.00%,100.00%
Reduced or Diminished Stabilization of the Telomere G-Quadruplex and Inhibition of Telomerase by Small Chemical Ligands under Molecular Crowding Condition,Reduced or diminished stabilization of the telomere G-quadruplex and inhibition of telomerase by small chemical ligands under molecular crowding condition,Z Tan,52,40.00%,40.00%
Kinetics of base stacking-aided DNA hybridization,Kinetics of base stacking-aided DNA hybridization,B Yuan Z Tan,14,100.00%,100.00%
Identification of low-abundance alternatively spliced mRNA variants by exon exclusive reverse transcriptase polymerase chain reaction,Identification of low-abundance alternatively spliced mRNA variants by exon exclusive reverse transcriptase polymerase chain reaction,Y Zhao Z Tan,8,100.00%,100.00%
G-quadruplex preferentially forms at the very 3' end of vertebrate telomeric DNA,G-quadruplex preferentially forms at the very 3′ end of vertebrate telomeric DNA,Z Kan,82,91.67%,91.67%
Fast detection of quadruplex structure in DNA by the intrinsic fluorescence of a single-stranded DNA binding protein,Fast detection of quadruplex structure in DNA by the intrinsic fluorescence of a single‐stranded DNA binding protein,Z Tan,10,94.12%,94.12%
Two DNAzymes targeting the telomerase mRNA with large difference in Mg2+ concentration for maximal catalytic activity,Two DNAzymes targeting the telomerase mRNA with large difference in Mg 2+ concentration for maximal catalytic activity,BF Yuan Y Xue Z Tan,18,93.75%,88.24%
An exonuclease I hydrolysis assay for evaluating G-quadruplex stabilization by small molecules,An exonuclease I hydrolysis assay for evaluating G-quadruplex stabilization by small molecules,Z Tan,29,100.00%,100.00%
Human telomeric DNA forms parallel-stranded intramolecular G-quadruplex in K+ solution under molecular crowding condition,Human telomeric DNA forms parallel-stranded intramolecular G-quadruplex in K+ solution under molecular crowding condition,Y Xue Z Kan J Liu,225,100.00%,100.00%
G-quadruplex formation in human telomeric (TTAGGG)4 sequence with complementary strand in close vicinity under molecularly crowded condition,G-quadruplex formation in human telomeric (TTAGGG) 4 sequence with complementary strand in close vicinity under molecularly crowded condition,Z Kan Y Zhao,67,94.12%,88.89%
